CdStationMesureEauxSurface;LbStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;NomEntiteHydrographique;TypeCEStationMesureEauxSurface
02098245;LE GROSSHARDT À MONTBRONN;1014067.0;6883873.99;Ruisseau le Grosshardt;
02098250;LE GRENTZBACH À SOUCHT;1014450.0;6883560.99;Ruisseau le Grentzbach;
02098256;LE GRENTZBACH À RATZWILLER (AMONT);1013519.0;6882259.99;Ruisseau le Grentzbach;
02098270;LE GRENTZBACH À RATZWILLER;1010120.0;6880182.99;Ruisseau le Grentzbach;
02098290;LE MITTELBACH À WALDHAMBACH;1011746.0;6879084.99;Ruisseau le Mittelbach;
02098300;LE GRENTZBACH À WALDHAMBACH;1009421.0;6878816.99;Ruisseau le Grentzbach;
02098350;LE MUEHLGRABEN À MACKWILLER;1006544.0;6877235.99;Ruisseau Muehlgraben;
02098375;L'EICHEL À DIEMERINGEN;1006670.0;6879660.99;Ruisseau l'Eichel;
02098380;LE BUTTENBACH À ROHRBACH-LES-BITCHE;1013739.0;6888704.99;Ruisseau le Buttenbach;
02098392;LE BUTTENBACH À MONTBRONN;1012538.0;6886419.99;Ruisseau le Buttenbach;
02098394;LE RUISSEAU DE NEUMATT À RAHLING;1012535.0;6884918.99;;
02098396;LE RUISSEAU DE GOSCHWILLERWALD À BUTTEN (AMONT ÉTANG);1011016.0;6884162.99;;
02098397;LE RUISSEAU DE GOSCHWILLERWALD À BUTTEN (AVAL ÉTANG);1010878.0;6884348.99;;
02098398;LE RUISSEAU DE WALHUETTE À BUTTEN;1010173.0;6883810.99;;
02098400;LE BUTTENBACH À BUTTEN;1008809.0;6883487.99;Ruisseau le Buttenbach;
02098410;LE RUISSEAU DE RAHLING À RAHLING;1008427.0;6885152.99;Ruisseau de Rahling;
02098450;LE BUTTENBACH À LORENTZEN;1007067.0;6881004.99;Ruisseau le Buttenbach;
02098600;L'EICHEL À DOMFESSEL;1004141.0;6880954.99;Ruisseau l'Eichel;
02098770;LE TIEFGRABEN À OERMINGEN;1002340.0;6885088.99;Ruisseau le Tiefgraben;
02098800;L'EICHEL À OERMINGEN;1002076.0;6885721.99;Ruisseau l'Eichel;
02098805;L' EICHEL À HERBITZHEIM;1000864.0;6889030.99;Ruisseau l'Eichel;
02098850;LE RUISSEAU D'ACHEN À GROS-REDERCHING;1007984.0;6894043.99;Ruisseau d'Achen;
02098860;LE RUISSEAU D'ACHEN À ACHEN (WALKMUEHLE);1006209.0;6891674.99;Ruisseau d'Achen;
02098880;LE RUISSEAU D'ACHEN À ACHEN;1005649.0;6890549.99;Ruisseau d'Achen;
02098900;LE RUISSEAU D'ACHEN À KALHAUSEN (WIEDESHEIM);1001821.0;6889807.99;Ruisseau d'Achen;
02098925;LE FLETTWIESERGRABEN À SILTZHEIM (KOLBENHUEBEL);998065.0;6891979.99;Ruisseau le Flettwiesergraben;
02098950;LE FLETTWIESERGRABEN À SILTZHEIM;999174.0;6892608.99;Ruisseau le Flettwiesergraben;
02098965;LE FLETTWIESERGRABEN À SILTZHEIM (MOULIN DE SILTZHEIM);1000187.0;6892898.99;Ruisseau le Flettwiesergraben;
02098980;LE SCHWARZBACH À WIESVILLER;1003766.0;6894602.99;Ruisseau le Schwarzbach;
02098990;LE GAILBACH À OBERGAILBACH;1007914.0;6898749.99;Ruisseau le Gailbach;
